date,Rule,Rule_trailing_ic,Rule_icir,Rule_hit,Rule_quality,Ridge,Ridge_trailing_ic,Ridge_icir,Ridge_hit,Ridge_quality,RandomForest,RandomForest_trailing_ic,RandomForest_icir,RandomForest_hit,RandomForest_quality,LightGBM,LightGBM_trailing_ic,LightGBM_icir,LightGBM_hit,LightGBM_quality,Transformer,Transformer_trailing_ic,Transformer_icir,Transformer_hit,Transformer_quality
2024-01-31,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5
2024-02-29,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5
2024-03-29,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5
2024-04-30,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5,0.2,,,,0.5
2024-05-31,0.2226379487142081,0.2534965034965035,1.3817597368663441,1.0,1.0,0.18722801407310263,-0.04020979020979022,-0.12847984878938573,0.5,0.4405182324718019,0.1901224495509274,6.938893903907228e-17,2.887758202697259e-16,0.5,0.5000000000000001,0.20669522347041086,0.08566433566433565,1.1596596439721192,0.75,0.7856643356643357,0.19331636419135093,0.00874125874125875,0.020220288198821778,0.75,0.561774301971082
2024-06-28,0.20939473862717814,0.17678390371147917,0.7560997052561395,0.8,0.8501988594999002,0.19846136958338145,0.11888111888111888,0.2658191691851249,0.6,0.6787539942588876,0.192887692799299,0.034965034965035016,0.15728955789781296,0.6,0.578558468649707,0.20898422995621382,0.13426573426573424,1.0646883853752744,0.8,0.8442657342657343,0.19027196903392762,0.005594405594405599,0.014940317717232917,0.6,0.5278354532519905
2024-07-31,0.20853248841360902,0.16130593374557997,0.7589605859733978,0.8333333333333334,0.8418166883082563,0.1984270130813027,0.10839160839160839,0.27041443995515524,0.6666666666666666,0.682287107718215,0.19657008823983596,0.0687645687645688,0.31927492771312305,0.6666666666666666,0.6499891412548706,0.21052759477237518,0.15384615384615383,1.2551872868141416,0.8333333333333334,0.8705128205128205,0.18594281549287722,-0.04079254079254078,-0.11534136968218472,0.5,0.4419062537551315
2024-08-30,0.20832976213565585,0.14925123991379383,0.7590793914247667,0.8571428571428571,0.8345417200560803,0.2010129156650607,0.12687312687312688,0.3436773108395586,0.7142857142857143,0.7212818663562036,0.20301339201329882,0.13386613386613386,0.512135273991028,0.7142857142857143,0.753543567821931,0.2004451922535133,0.09490509490509488,0.49447397268700904,0.7142857142857143,0.7119333336652892,0.18719873793247127,-0.03396603396603396,-0.10504156282400996,0.5714285714285714,0.46456344589607884
2024-09-30,0.20218574054644275,0.1034969328266675,0.46338611997851664,0.75,0.723004850823445,0.20308639930549635,0.13024475524475526,0.38093052123726706,0.75,0.7373843334303454,0.2050510823268235,0.1346153846153846,0.5562439174217048,0.75,0.7680519722286403,0.20424372942144287,0.1136363636363636,0.6128459189872806,0.75,0.7555632514844557,0.18543304839979444,-0.06118881118881119,-0.19794854157078431,0.5,0.4091189075755711
2024-10-31,0.2045731761162146,0.12152330314973397,0.5631037911706235,0.7777777777777778,0.761544427380883,0.2047331991200859,0.14219114219114223,0.4418188622574828,0.7777777777777778,0.7640195270853202,0.2046602238736683,0.1250971250971251,0.5482592478866093,0.7777777777777778,0.762891567835672,0.2012991741898925,0.09634809634809632,0.5322018318448452,0.6666666666666666,0.7095117044581564,0.18473422670013878,-0.06216006216006215,-0.21496391262184406,0.4444444444444444,0.39448423983555014
