date,evidence_persistence,evidence_correction,evidence_volatility_support,evidence_flow,evidence_relative_strength,evidence_intermarket,evidence_macro_market
2024-01-31,0.25,0.1,0.15,0.15,0.2,0.1,0.05
2024-02-29,0.25,0.1,0.15,0.15,0.2,0.1,0.05
2024-03-29,0.25,0.1,0.15,0.15,0.2,0.1,0.05
2024-04-30,0.25,0.1,0.15,0.15,0.2,0.1,0.05
2024-05-31,0.23619132308297164,0.09640923822762797,0.1332460110633652,0.1561895627560942,0.19869132308297166,0.10453278031179578,0.07473976147517361
2024-06-28,0.22962670394390422,0.1055935174555247,0.13408827555689534,0.15222340572462675,0.19751101399975513,0.10702625270327809,0.07393083061601578
2024-07-31,0.22815386121658113,0.10755089225898047,0.1358978997933111,0.15391908798476722,0.19390450328235134,0.10735134478430719,0.07322241067970159
2024-08-30,0.22656321203368018,0.10671106508083689,0.13491513947420172,0.15824229275850532,0.19474793468014612,0.10743918058669667,0.07138117538593312
2024-09-30,0.22429808132763474,0.10965258354447183,0.13799067856452552,0.1531539521703218,0.19269351796364395,0.10854166385760883,0.07366952257179335
2024-10-31,0.2238491946237559,0.11276790024454608,0.13943023808468508,0.15011338916288886,0.19305843802806877,0.10775494501346979,0.07302589484258556
2024-11-29,0.2229277332934319,0.11095877937861989,0.141343957747629,0.15146250739512404,0.19023622330197992,0.10785061493589435,0.07522018394732097
2024-12-31,0.22280020182486446,0.11315477099741877,0.14225227894806142,0.15369835883594143,0.18846465652673644,0.10848679303462873,0.0711429398323487
2025-01-31,0.22203592588974827,0.11604547769086511,0.1448735047795089,0.15061128748504987,0.18820022860572252,0.10903729668281306,0.06919627886629234
2025-02-28,0.22251007109717844,0.1186964719866709,0.14589674717882453,0.14835754755760938,0.1862779126136301,0.11031834655383697,0.0679429030122497
2025-03-31,0.22029380219168151,0.12109720224745511,0.1453508821497967,0.14535202308477796,0.18390226614327548,0.11019056114417738,0.07381326303883591
2025-04-30,0.21559600015084876,0.12803816438296678,0.1457105450275556,0.1423348170740001,0.1808964442561258,0.11154240154425615,0.07588162756424685
2025-05-30,0.2161725054455085,0.1273275837330295,0.15036024056701086,0.14105651048055554,0.18186289152268942,0.11022215041131049,0.07299811783989574
2025-06-30,0.2178727379234272,0.12128878168041982,0.15131761852661724,0.14299766789299026,0.1834001138638497,0.11061125975761908,0.07251182035507675
2025-07-31,0.21852885414352263,0.12071709165402304,0.14991124374745746,0.14333137470794857,0.18436107693221263,0.11079173425553442,0.07235862455930131
2025-08-29,0.21882165652991,0.12190768169787136,0.15215886692447114,0.1415202821705213,0.18204248151682662,0.11185247238678062,0.071696558773619
2025-09-30,0.21975900624677053,0.12258499323084547,0.15067584527116765,0.14146284920320948,0.1823916948663709,0.11182243060727329,0.07130318057436284
2025-10-31,0.22049300895167376,0.1201169626994571,0.15246529440137874,0.14219098221118487,0.18081924731868199,0.11350353789150625,0.07041096652611736
2025-11-28,0.22115330490405888,0.12372457009459137,0.14967930992497847,0.14205294564368695,0.18240322692638167,0.11422836984114086,0.06675827266516186
2025-12-31,0.21871705651011353,0.12310401092532586,0.14959284414521062,0.1404451040956235,0.18320618621117446,0.11400053449617636,0.0709342636163757
2026-01-30,0.21996552705746092,0.12015114548983367,0.146119596472542,0.14125945835075887,0.1839752855910449,0.11389366955933158,0.07463531747902807
2026-02-27,0.2206322133525684,0.11908210014861374,0.14625468797758737,0.14243736664720621,0.18467297508907224,0.11288437114589273,0.07403628563905913
2026-03-31,0.22195438984257565,0.11764555845473376,0.14797307453747,0.14546173593359016,0.18572200737586886,0.11304250224781454,0.06820073160794708
2026-04-30,0.2266697203452756,0.11084936734326421,0.1467563303068266,0.14915208959968823,0.18949059397352536,0.11148161507238458,0.06560028335903542
2026-05-29,0.22542100415921623,0.1139967061940521,0.14437574846215379,0.15033271315337532,0.186447691328166,0.11300950121165183,0.06641663549138457
