date,Rule,Ridge,RandomForest,LightGBM,Transformer,evidence_persistence,evidence_correction,evidence_volatility_support,evidence_flow,evidence_relative_strength,evidence_intermarket,evidence_macro_market
2024-01-31,0.4895104895104895,0.07692307692307694,0.23776223776223782,-0.0069930069930069765,0.020979020979020935,0.20279720279720284,-0.2867132867132867,-0.26573426573426573,0.5664335664335665,0.5594405594405595,-9.648373092180158e-17,0.22656606181076278
2024-02-29,0.2867132867132867,0.2797202797202796,0.1678321678321679,0.06293706293706292,0.5104895104895105,0.4545454545454546,-0.19580419580419584,-0.0419580419580419,0.16083916083916078,0.39860139860139865,-1.1256435274210183e-16,-0.19470520936862443
2024-03-29,0.18181818181818177,-0.46153846153846145,-0.2587412587412587,0.1608391608391608,0.04895104895104892,0.3076923076923076,-0.04195804195804196,0.02797202797202796,-0.06993006993006995,0.08391608391608385,-9.648373092180157e-17,0.2124056829475901
2024-04-30,0.055944055944055986,-0.05594405594405594,-0.14685314685314677,0.12587412587412583,-0.5454545454545454,0.06993006993006994,-0.11888111888111888,-0.4265734265734265,0.12587412587412583,0.08391608391608392,-1.125643527421018e-16,0.21948587237917658
2024-05-31,-0.130066495428618,0.7552447552447552,0.1748251748251748,0.3286713286713286,-0.00699300699300701,-0.3496503496503497,0.5289370814097132,-0.27972027972027974,-0.2447552447552447,-0.13986013986013993,-9.648373092180158e-17,-0.14160378863172685
2024-06-28,0.08391608391608393,0.05594405594405597,0.2377622377622377,0.2517482517482517,-0.27272727272727265,4.658278425000656e-17,0.13286713286713286,0.013986013986014003,0.20279720279720276,-0.06993006993006992,-1.2864497456240211e-16,-0.024780663010552182
2024-07-31,0.07692307692307689,0.23776223776223782,0.5244755244755244,-0.25874125874125875,0.006993006993006959,-0.034965034965035016,-0.0979020979020979,-0.3216783216783218,0.46153846153846156,0.20979020979020976,2.5728994912480423e-16,-0.14514388334751996
2024-08-30,-0.21678321678321677,0.15384615384615385,0.13986013986013987,0.2447552447552447,-0.2517482517482517,-0.27972027972027974,0.20979020979020976,0.1958041958041958,-0.43356643356643354,-0.16083916083916078,-1.1256435274210183e-16,0.14948985918580535
2024-09-30,0.26573426573426573,0.23776223776223782,0.04895104895104894,-0.041958041958042,-0.06993006993006988,0.09790209790209796,0.5104895104895103,0.21678321678321677,-0.1468531468531468,0.26573426573426573,-1.2864497456240211e-16,0.06372170488427703
2024-10-31,-0.027972027972027927,-0.6153846153846154,-0.46153846153846134,-0.41958041958041953,-0.3286713286713286,-0.09090909090909088,-0.18881118881118883,0.23076923076923078,0.2307692307692308,-0.2167832167832168,-9.648373092180158e-17,0.3256887138529717
2024-11-29,-0.22377622377622375,0.2517482517482519,-0.13986013986013987,-0.41958041958041953,0.13286713286713284,-0.08756580854229326,0.26573426573426573,-6.987417637500984e-17,0.28671328671328683,-0.25174825174825166,-1.1256435274210183e-16,-0.665537806569116
