date,asset_id,evidence_persistence,evidence_correction,evidence_volatility_support,evidence_flow,evidence_relative_strength,evidence_intermarket,evidence_macro_market
2026-05-29,ASX,0.7335978835978836,0.2277777777777777,0.516005291005291,0.4694376207273033,0.8301587301587301,0.3831349206349206,0.3032407407407407
2026-05-29,DAX,0.4561507936507936,0.6075396825396826,0.3789682539682539,0.3977142297248117,0.2738095238095238,0.3831349206349206,0.3926587301587301
2026-05-29,FTSE,0.3935846560846561,0.3537037037037037,0.6286375661375662,0.4584190672153635,0.5521825396825396,0.3831349206349206,0.3646164021164021
2026-05-29,HSCEI,0.2490740740740741,0.6597883597883598,0.6418650793650794,0.3106750930825005,0.2910714285714286,0.3831349206349206,0.3296957671957672
2026-05-29,HSI,0.6478835978835978,0.3512200270178993,0.4371693121693122,0.5006071358584586,0.8077380952380954,0.3831349206349206,0.3296957671957672
2026-05-29,KOSPI,0.594510582010582,0.2842592592592593,0.5702380952380951,0.460572037456958,0.7380952380952381,0.3831349206349206,0.3939814814814815
2026-05-29,NDX,0.6425264550264551,0.3292328042328042,0.4744708994708995,0.5176086895663615,0.6648809523809524,0.3831349206349206,0.2990079365079365
2026-05-29,NKY,0.6472222222222221,0.5026929319758006,0.7216931216931216,0.4817588043447832,0.633531746031746,0.3831349206349206,0.295568783068783
2026-05-29,RTY,0.4913359788359789,0.614021164021164,0.4656746031746032,0.3700081884605694,0.5807539682539682,0.3831349206349206,0.2990079365079365
2026-05-29,SPX,0.4128968253968254,0.4701058201058201,0.5191137566137566,0.4778229192911732,0.4224206349206348,0.3831349206349206,0.2990079365079365
2026-05-29,SX5E,0.361574074074074,0.610978835978836,0.2953703703703704,0.3691560986534531,0.341468253968254,0.3831349206349206,0.3926587301587301
2026-05-29,TPX,0.3244708994708994,0.4671957671957673,0.3068121693121692,0.3666566935416142,0.3176587301587301,0.3831349206349206,0.295568783068783
